b1_min,b1_max,b1_mean,b1_variance,b1_skewness,b1_kurtosis,b2_min,b2_max,b2_mean,b2_variance,b2_skewness,b2_kurtosis,b3_min,b3_max,b3_mean,b3_variance,b3_skewness,b3_kurtosis,b4_min,b4_max,b4_mean,b4_variance,b4_skewness,b4_kurtosis,b5_min,b5_max,b5_mean,b5_variance,b5_skewness,b5_kurtosis,b6_min,b6_max,b6_mean,b6_variance,b6_skewness,b6_kurtosis,b7_min,b7_max,b7_mean,b7_variance,b7_skewness,b7_kurtosis,b8_min,b8_max,b8_mean,b8_variance,b8_skewness,b8_kurtosis,segment_id,image_id
230,249,235.92222222222222,4.961685823754788,0.5564003330502512,1.7706910208620608,182,201,189.64444444444445,8.70769991348412,0.19883462636922855,0.2194791073028859,191,239,216.10222222222222,66.50789272030651,-0.04813674182001001,-0.16854066514017862,146,198,170.44,53.95078976640711,0.0019519865035404883,0.15853426632091772,79,108,89.94,15.987497219132372,0.37995419333513364,1.0640901127669524,184,338,269.4422222222222,748.8209071808184,-0.2633119855735673,-0.18512949539553736,263,488,390.90555555555557,1631.2113150414039,-0.33306027996661297,-0.1110080993505611,200,402,317.84222222222223,1240.5801952787047,-0.3763390674435649,-0.07173368095097699,1.0,6080_1_0
230,245,236.0,6.226918798665183,-0.024496160539433896,-0.02873901910305543,181,202,189.80444444444444,10.829346187121493,-0.005113295586119982,0.2436191646601351,183,240,215.51222222222222,89.95424422197505,-0.44013104761147276,-0.04656330717801582,143,206,170.19333333333333,77.47537263626253,-0.24010824538927106,0.07413308931832185,77,112,90.44222222222223,20.914344333209737,0.20331179951427542,1.0284467274464193,150,342,261.8433333333333,1042.5994549499444,-0.6807068733046443,0.3381723658159568,214,485,376.24111111111114,2385.780510443703,-0.7696335558905084,0.462721555159082,143,412,305.19555555555553,1785.9750636509705,-0.7112049774304251,0.38786488537946484,2.0,6080_1_0
228,243,236.32555555555555,4.987332838956865,-0.10682592137611484,0.0618073586581227,181,201,189.94666666666666,7.852547274749724,0.0016006541678634755,0.2541543325087905,187,241,216.82888888888888,72.12196761834136,-0.23080552474768334,-0.12379236529589699,146,193,171.11333333333334,56.55221357063404,-0.277804848168005,0.01346753034823811,78,111,90.67555555555556,17.491949079223826,0.19839190636425322,0.4836604963650313,162,344,266.8611111111111,802.8872512668397,-0.4317955728261296,0.1952184427364827,231,478,381.6644444444444,1790.7326609813372,-0.49019927856256645,0.2500999468131053,186,394,309.90444444444444,1353.9152193795576,-0.5173648234041487,0.2901694366261385,3.0,6080_1_0
228,245,236.10666666666665,5.374593993325918,0.0718821831455351,0.10011588090823942,181,198,189.9322222222222,8.19006179705846,-0.07966000790522582,-0.19418411184293527,184,244,217.26111111111112,82.03964281300212,-0.3194431448154688,0.4513462529756125,147,197,171.7711111111111,65.65166728463726,-0.20775926153996482,0.04687733182414666,74,107,90.98333333333333,17.640433815350388,-0.06366265631321995,0.5710791303643963,158,344,266.9844444444444,874.0509257199355,-0.47189458299722625,0.3671224340338335,201,484,381.43111111111114,1991.404592757385,-0.6090108162989284,0.6135855655282763,151,399,309.33666666666664,1441.680745272525,-0.568084830238615,0.4455527875670664,4.0,6080_1_0
230,242,236.0611111111111,4.629186750710666,-0.06572481963138459,-0.21676209985239359,180,200,189.61444444444444,8.012471882338403,-0.026680428296943563,0.16852500112682334,181,242,217.26444444444445,82.07682115931281,-0.25024614980148974,0.08392770751687983,146,193,171.5088888888889,58.04997651711778,-0.14043152557050861,0.010621292674995786,73,105,90.39444444444445,15.433784451860094,-0.1111801055315392,0.19341733476308764,171,340,269.9266666666667,899.6609121245829,-0.4055816574414086,-0.15161394859088118,226,496,386.37444444444446,2077.0976776665434,-0.5289973260482568,0.05638196671391649,178,398,312.87,1513.6571635150167,-0.5305577093984695,-0.004258848028272588,5.0,6080_1_0
228,242,235.69,4.521145717463849,-0.2667644563898996,0.08816927742033265,178,197,189.24444444444444,6.854529724385119,-0.4441770603719627,0.41869957444727346,187,244,216.92,68.78558398220245,-0.2803375967314688,0.31481124565287644,146,193,170.78444444444443,52.97461871214931,-0.282045410229413,0.26988074415258545,77,101,89.88222222222223,13.0406179705846,-0.3061580994208249,0.39714718895542633,166,360,273.18555555555554,743.1857755530838,-0.5364642085484908,0.567304380702319,247,502,394.7366666666667,1664.6680645161289,-0.6015075530732865,0.5641378298858553,198,411,320.42333333333335,1245.4457285873193,-0.6185797238063134,0.5812624219331948,6.0,6080_1_0
228,242,235.61888888888888,4.974726239031023,-0.1640884855620205,0.007280946579676151,182,197,189.37444444444444,7.484774440736621,-0.11071179114078449,-0.09031358759596753,185,238,216.4688888888889,68.50959831912002,-0.4220666411009912,0.29033143619682855,145,192,169.98777777777778,54.250128537881594,-0.21546596630190298,0.1800348784990855,77,102,89.73666666666666,15.117452725250278,-0.11319301966138441,0.2262706211807899,153,348,272.6911111111111,751.4906884192312,-0.5758865282411507,0.7926148230935826,222,501,396.6011111111111,1557.8440477073289,-0.7025228446710038,0.8900470178531927,168,401,321.79555555555555,1172.0204474107031,-0.6887257350972531,0.8468167317239956,7.0,6080_1_0
229,241,235.09777777777776,4.900328760351008,-0.08116525591039463,-0.3257798658950004,177,196,188.24555555555557,8.080903472994686,-0.1928307102206813,0.3328013906708862,182,239,213.4711111111111,72.79226795204549,-0.09910298774103314,0.21777586866167375,139,194,166.76888888888888,57.995471511556055,-0.1310267323344022,0.26226264047379066,73,101,87.90333333333334,15.833804226918799,-0.0048075257343034895,0.6508196238053876,163,339,272.88,734.853214682981,-0.4127637102196828,0.36762293294931636,241,513,408.88666666666666,1558.952658509455,-0.4207351534658782,0.4620062153057862,171,408,331.7944444444444,1189.5472438511924,-0.44355219049186273,0.4953594105089727,8.0,6080_1_0
226,242,233.72,5.000489432703004,-0.022899696916716387,0.2040070838063066,177,197,186.08333333333334,8.577030033370411,0.026885364492646006,0.2572113772559539,179,239,206.4111111111111,85.00988752935359,-0.16300153348474444,0.12684948832630072,133,190,160.18333333333334,67.74944382647386,-0.1795591751149536,0.1593639429623721,73,97,84.42666666666666,17.693170189099,-0.005470221408729486,-0.17666052487328132,158,355,259.2477777777778,929.5392052898284,-0.4605879054771525,0.24916979250895643,242,540,401.55333333333334,2018.481023359288,-0.46092542099883044,0.3723026491268264,191,450,325.7811111111111,1491.6149932023238,-0.4989420778758945,0.3674216310123817,9.0,6080_1_0
227,241,234.79444444444445,5.246910147076998,-0.09541688447011065,-0.0891407684284351,178,196,188.21333333333334,6.566229143492769,0.05512105549016615,0.20895326193408348,182,240,213.02333333333334,68.10735261401558,-0.09482976808912776,0.32800363805161004,144,190,166.19444444444446,53.56504140402916,0.027498135855818617,0.17756834058992155,75,100,87.60222222222222,14.135256457792606,0.07579139212609372,0.017862731371091733,179,357,272.69555555555553,692.1007588678777,-0.2349481359617133,0.23156934199963608,224,510,410.1488888888889,1557.8576739587195,-0.4177496968183053,0.8744258057767893,171,418,333.0111111111111,1153.234581633914,-0.4138521767135519,0.8331305630165899,10.0,6080_1_0
